Solozeroth adds new objects to the database. The new entry/ID numbers start here:  

`creature_template`.`entry` = 251001
`page_text`.`ID` = 4001 (skip 5 between books to easily allow for extra pages in the future)

`item_template`.`entry`: 
To have a new item display properly, the client needs to 'jibe' with the info on the server. 
A simple way to do that is to use some of the unused items that the client already knows about. 
Below is a list of all available items. I have prepended the ones I have used with 
USED(<short description of the new item>) for easy lookups.

List created by Rochet2
Updated list for TC TDB at: http://pastebin.com/hyNUYtMj
Note: Usability in combat of all Consumbables is decided by the spell assigned.

Entry, Class, Subclass, Name
=============================
7168, 0, 0, Consumable 
34048, 0, 0, Consumable
5378, 0, 0, Consumable
44804, 0, 0, Consumable
44805, 0, 0, Consumable
44807, 0, 0, Consumable
33800, 0, 0, Consumable
19977, 0, 0, Consumable
42764, 0, 0, Consumable
44813, 0, 0, Consumable
9232, 0, 0, Consumable
44816, 0, 0, Consumable
38165, 0, 0, Consumable
40725, 0, 0, Consumable
34071, 0, 0, Consumable
49692, 0, 0, Consumable
38685, 0, 0, Consumable
44832, 0, 0, Consumable
48416, 0, 0, Consumable
18209, 0, 0, Consumable
33570, 0, 0, Consumable
33572, 0, 0, Consumable
33573, 0, 0, Consumable
33574, 0, 0, Consumable
54822, 0, 0, Consumable
38702, 0, 0, Consumable
35120, 0, 0, Consumable
38704, 0, 0, Consumable
22323, 0, 0, Consumable
21556, 0, 0, Consumable
23872, 0, 0, Consumable
33600, 0, 0, Consumable
17729, 0, 0, Consumable
33601, 0, 0, Consumable
33090, 0, 0, Consumable
33602, 0, 0, Consumable
44866, 0, 0, Consumable
33603, 0, 0, Consumable
44867, 0, 0, Consumable
4420, 0, 0, Consumable
45126, 0, 0, Consumable
4423, 0, 0, Consumable
49223, 0, 0, Consumable
21832, 0, 0, Consumable
49224, 0, 0, Consumable
49225, 0, 0, Consumable
21834, 0, 0, Consumable
33100, 0, 0, Consumable
44624, 0, 0, Consumable
35667, 0, 0, Consumable
44628, 0, 0, Consumable
44630, 0, 0, Consumable
